TS	Initial_Agreement	Final_Agreement	SD_Final_Agreement	DRSQ_Training	DRSQ_Test	M_coeff_a	SD_coeff_a	Low_coeff_a	High_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	High_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	High_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	High_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	High_coeff_e
Fri Jul  5 06:11:39 2019	3.81614486046013	4.173465390550845	0.008051313069960129	8.481149799372174	7.283506053687945	-0.33531750695311163	0.022584005630499844	-0.37170148031689515	-0.2950012636700488	0.26748632989255405	0.02457915436958983	0.22709477802827216	0.304887874699173	0.044409156457031126	0.0025134371174712553	0.041075930513746264	0.048936074020320616	1.4545021150897488	0.34913549151965895	0.8827030953149616	1.9575226649680473	-0.004395992750303317	0.0025191772352202205	-0.00802537596132639	6.82612473921762e-05
Fri Jul  5 06:13:38 2019	3.305009842053059	3.627794777954666	0.009253890710705037	8.97777457714205	6.437841003872956	-0.3375546643484287	0.02226131526006845	-0.3766453282761884	-0.301691605616894	0.25498896453419817	0.02361209965762917	0.21484637957653188	0.2968024437734337	0.04584161531550293	0.0024404462861672208	0.04198820446770843	0.04986674300517029	1.4841316294162312	0.3322968080468062	0.9853786022974109	2.0022405039620477	-0.003360793299789259	0.0029454434568222257	-0.007533295874735469	0.001554409544381968
Fri Jul  5 06:15:46 2019	3.2965299194772153	3.606441738986683	0.012023483692602328	8.485981048393844	6.733372161521786	-0.3334904020815347	0.022331024141405042	-0.36714503050769565	-0.30130529400679207	0.24802209722409524	0.018836272379717026	0.21481310681717564	0.28200291757863416	0.0462441220972191	0.0024505082139145394	0.04211120600690186	0.05092193577756903	1.4771431317395074	0.3344198565414165	0.9853786022974109	2.0022405039620477	-0.003486640394511195	0.0027798883751749296	-0.007047199565300392	0.001554409544381968
Fri Jul  5 06:17:49 2019	3.477925419566318	3.780801684722967	0.01566951756756618	7.181265089047222	7.485005634908178	-0.32231592830408473	0.028000834501964493	-0.35719838040741714	-0.28084272984801856	0.25240892015862715	0.016381998241698094	0.22709477802827216	0.28200291757863416	0.046309911696859586	0.002640627812028129	0.04257344037870333	0.05092193577756903	1.4540618519692494	0.36544801102528607	0.8266650886499404	2.226796568423119	-0.003468962688353965	0.002777282663529215	-0.007047199565300392	0.0014580151087642732
Fri Jul  5 06:19:49 2019	3.6725452840035975	3.891362409357621	0.012035995379731603	5.128473812612094	9.796176174109512	-0.3157822391328132	0.02251415892627359	-0.3450459691793182	-0.28084272984801856	0.25616692369067684	0.013215747196568832	0.23891809681171067	0.28496561418864785	0.04540989080375078	0.0023758956111638208	0.042371558513932844	0.050371072703679215	1.4351932886540117	0.39515697076842526	0.8266650886499404	2.226796568423119	-0.004687537946491184	0.002832972186316467	-0.007622987014971249	0.0014580151087642732
Fri Jul  5 06:21:49 2019	3.583644230216688	3.882795184916957	0.010056226785767196	7.735570507861113	8.077463948485098	-0.3177024066214631	0.022620329901444157	-0.34747117826637397	-0.28561316369252376	0.25689245215586914	0.01089922030845362	0.24212944489458985	0.2760665648104642	0.044978542162976004	0.002135281282701641	0.04214240386331535	0.0481559132999185	1.4538520416457377	0.4467157953882012	0.9383565691173272	2.3163429342084085	-0.0047107907729856124	0.002706094344282092	-0.009915354520387915	0.0009812387494488482
Fri Jul  5 06:23:45 2019	4.066560168712554	4.36450067358305	0.012095852812187459	6.987063228375081	8.774591825781542	-0.31788719409963234	0.020118568870706267	-0.3454516815043823	-0.2896753631306577	0.25895338677013446	0.013751280798130745	0.2399183434021336	0.2835756722816153	0.04443551721683935	0.0024072106651939346	0.039444577070360844	0.0481559132999185	1.4452201701848049	0.4705370756317574	0.7679422987398193	2.183036876720416	-0.0054676589398346565	0.0029466969640782412	-0.010893911983604558	-0.0009724874625462203
Fri Jul  5 06:25:44 2019	3.673040588933981	4.036965847247147	0.009369303262230079	9.175906410888462	6.879700821369528	-0.3125864946640189	0.01917847360730843	-0.3392919405445178	-0.2785644775289664	0.2597355934204583	0.015581013636160499	0.2300134380021839	0.28521563414348133	0.044550200374651766	0.002573388558513788	0.039214798803209196	0.04943294874145791	1.5096519226501408	0.4343362509245077	0.7679422987398193	2.183036876720416	-0.004931264290029794	0.0033041331424507607	-0.010565977388217343	0.0027203000355739285
Fri Jul  5 06:27:44 2019	3.635433116098292	3.8369799254009025	0.013430332609745473	5.398969513397164	10.116586453456234	-0.31272973800233933	0.018255675418007204	-0.3390625166515578	-0.2785644775289664	0.253750488843675	0.02034024050693494	0.2091797283813539	0.2835756722816153	0.043721243855109636	0.002734478062608352	0.039214798803209196	0.049658148211862096	1.5544962555530923	0.3720247201712188	0.9817373591230877	2.1640458508626863	-0.004810972945394734	0.0034581295210647984	-0.00940422138574764	0.0027203000355739285
Fri Jul  5 06:29:45 2019	3.6896883886847105	4.131513560180946	0.02009437052155605	10.947608765652362	5.613833336747405	-0.31740985923832304	0.017927495963496538	-0.3392919405445178	-0.28570987060396014	0.24798543760651476	0.018468297341762942	0.2091797283813539	0.27613948708322655	0.04435981326373332	0.002857442063775822	0.04005984518326786	0.049658148211862096	1.5494807588480917	0.3416068291838628	0.9899073614136654	2.186420598562287	-0.0034696654379228753	0.003945340209993423	-0.009002174931761715	0.0027639265655100805
