intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
23293	1	26	31	3	-99.99	31	-99.99	31	3	3	7	-.781555331359351	-.803262834097774	-.728260206749101	.6	.8	1	.6	.4	.6	5.8	2.3	-.4	0
23294	1	58	13	2	9	13	9	13	7	6	 	-.428540192347799	-.471897456490376	-.237736168304119	.4	.6	 	.6	.2	1	6.82	2.48	.6	1
23388	2	76	31	3	9	-99.99	3	31	4	5	5	-.198941566082557	-.373462555695385	-.35933038927119	1	.2	1	.8	.2	.2	5.72	1.06	0	0
23460	1	51	20	6	6	20	 	 	7	10	 	.705220407426311	.935770714582969	 	.8	1	 	.666666666666667	.666666666666667	.6	6.01	2.04	0	1
23474	1	54	23	2	2	23	2	30	8	1	1	-.233211364443019	-1.62041187258314	-.916760232236703	1	1	1	.933333333333333	.6	.6	7.46	2.54	.2	1
23486	2	29	13	1	 	 	 	 	8	 	 	.861283586771795	 	 	.8	 	 	.8	.333333333333333	.6	7.58	2.46	.4	1
23511	1	58	23	2	2	23	2	23	7	6	5	-.708460424085256	-.614660157983604	-.352063401338359	.8	.8	1	.733333333333333	.533333333333333	.8	7.46	2.54	-.2	1
23537	1	56	31	3	3	31	3	25	6	10	8	-.905386011085912	-1.08015160609318	-.68112633181488	.8	1	.8	.466666666666667	.6	.6	5.39	1.55	0	0
23566	2	54	31	3	1	31	2	31	5	8	7	-.503298065798963	-.374983885360308	-.600769240423266	.6	.6	.6	.8	.4	.4	5.79	1.925	0	1
23616	1	55	33	2	2	33	 	 	2	2	 	-2.22812922077102	-1.97058787664352	 	1	1	 	.666666666666667	.733333333333333	1	5.97	1.99	-.4	1
23681	2	70	18	2	1	32	2	18	5	4	6	-.295037768124494	-.730221907504884	-.976653800374296	.8	1	1	.666666666666667	.8	.6	6.46	2.48	-.2	1
23719	1	72	30	6	2	32	2	30	5	8	7	-.830300620779765	.45458677091549	1.27243734447049	.6	.8	1	.466666666666667	1	1	7.03	2.42	0	1
23729	2	40	31	9	7	31	7	32	1	1	1	-1.27373296780683	-2.41507665448205	-2.01068279770178	.8	1	1	.6	.4	.6	5.54	2.17	-.4	0
23749	2	52	15	2	2	15	2	15	3	1	1	-1.31805248495538	-1.64584094612276	-1.75509289219204	1	1	1	.733333333333333	.733333333333333	.6	6.82	2.48	-1	1
23767	2	72	30	2	2	30	2	30	8	10	4	1.03273757926393	.592376293622171	1.17969088170371	.8	1	.6	.866666666666667	.7	.6	6.97	2.61	0	1
23830	1	38	15	6	-99.99	15	2	15	 	1	1	 	-1.20335712168846	-2.08628546192119	1	1	1	.866666666666667	.2	.6	7.46	2.54	-.6	1
23842	1	35	32	2	2	11	2	32	5	6	7	-.624443884155793	-.293847412982487	-.296523159105212	1	1	1	.933333333333333	.866666666666667	.6	6.24	2.25	.2	1
23942	1	45	32	1	1	30	 	 	4	4	 	-.535417345098818	-.521666717585264	 	.4	1	 	.8	.2	.8	5.89	1.95	0	1
23973	1	44	11	2	 	 	 	 	8	 	 	-.336469653851934	 	 	.2	 	 	.8	.333333333333333	.8	6.86	2.19	0	1
23976	1	58	18	1	2	18	2	18	10	8	8	.79712664245921	.664972020515937	.378312754519763	1	.8	1	.933333333333333	.266666666666667	.6	6.56	2.31	0	1
23991	2	66	30	-99.99	1	32	1	32	10	8	6	.485666932605442	.555781471837456	.50462479500614	.8	.8	.8	.266666666666667	.9	.8	6.93	2.58	.4	1
24017	1	76	32	-99.99	 	 	 	 	5	 	 	-.900691709000049	 	 	1	 	 	.466666666666667	.2	1	6.93	2.08	 	1
24232	2	68	20	2	2	20	2	20	7	5	5	-.0290902341056051	-.613578079134815	.127406036965914	.8	.6	.6	.933333333333333	.2	.6	6.26	2.29	-.2	1
24349	1	74	13	1	2	15	1	15	4	10	10	-1.50197594129534	-.0990981531809383	.000914620897048052	.8	1	.8	1	.8	1	6.9	2.15	0	1
24365	1	48	32	2	2	30	 	 	3	8	 	.662886490408637	.7894200832876	 	.4	.8	 	.866666666666667	.8	.6	7.09	2.47	 	1
24382	2	28	14	2	 	 	 	 	3	 	 	-1.45637819716365	 	 	1	 	 	.8	.333333333333333	.8	5.97	1.99	-.4	1
24448	2	28	13	2	6	15	 	 	3	2	 	-.430690709740064	-1.56869926528822	 	.4	1	 	.666666666666667	.733333333333333	1	6.82	2.48	-.4	1
24463	1	56	20	-99.99	1	20	1	20	2	3	2	-.429441642243477	-.382779965212429	-1.12628249139196	.8	.8	1	.466666666666667	.466666666666667	.6	6.1	2.14	-.4	1
24491	1	34	17	9	6	17	 	 	8	8	 	 	-.137727132649016	 	.8	.8	 	.6	.2	.6	6.4	2.2	.4	1
24501	2	49	31	7	5	31	 	 	6	5	 	-.806697377586124	-.595124833660896	 	.6	.8	 	.8	.466666666666667	.6	5.05	1.59	.6	0
24504	2	63	26	5	5	26	5	26	1	1	1	-1.89123729687031	-2.14275628479792	-2.40430981813358	1	1	1	1	.6	.6	4.95	1.14	-.2	0
24551	2	26	15	2	2	15	-99.99	15	3	3	3	-1.01123072690179	-.706260071308892	-.294742886680978	.6	.8	.8	.666666666666667	.466666666666667	1	6.82	2.64	-.4	1
24569	2	45	30	1	1	23	2	23	8	8	8	.45472998220978	.319969142428648	.534579006371452	.8	1	1	.8	.5	.6	7.46	2.59	0	1
24646	1	42	30	2	2	23	 	 	8	4	 	1.36188514586299	1.04301762888702	 	1	.8	 	.533333333333333	.4	.6	7.24	2.39	0	1
24664	2	48	-99.99	5	5	-99.99	5	24	7	3	6	 	1.92917542683239	.150661181894076	1	1	.4	.666666666666667	.533333333333333	.6	5.55	1.51	-.6	0
24666	2	34	32	1	6	30	2	30	9	10	8	1.17272522557532	.94150566124826	.334235741761267	.8	1	.8	.8	.4	.6	7.49	2.44	0	1
24709	2	48	23	2	2	23	1	23	8	5	7	.167997705647216	-.0942415479690612	-.137322177908318	.8	.6	.6	.533333333333333	.5	.4	7.38	2.49	0	1
24736	2	48	15	2	2	32	 	 	8	4	 	.671277768478711	.858121766462108	 	.8	.8	 	.866666666666667	.266666666666667	.6	7.16	2.31	.4	1
24759	1	65	15	2	2	15	2	15	3	2	5	-1.4542404915069	-1.48037140551138	-.548644401630908	.8	.6	.8	.866666666666667	.8	1	6.73	2.52	-.2	1
24768	2	22	17	2	 	 	 	 	10	 	 	.870341326704799	 	 	1	 	 	.666666666666667	.466666666666667	.6	6.16	1.91	0	1
24839	2	45	18	2	 	 	 	 	10	 	 	2.02223299152667	 	 	1	 	 	.866666666666667	.933333333333333	.6	6.47666666666667	2.35666666666667	.2	1
24841	1	53	15	2	2	30	 	 	9	9	 	1.06542463850472	1.0621840575595	 	.8	1	 	.666666666666667	.266666666666667	.6	6.425	1.64	.4	1
24907	2	45	31	2	2	30	2	32	2	1	3	-1.69798779605723	-1.53468448862962	-1.07287313450904	1	.4	.4	.866666666666667	.4	.6	6.1	1.29	-.4	1
24908	1	67	30	2	 	 	 	 	4	 	 	-.0417007424667333	 	 	1	 	 	.733333333333333	1	.6	6.34	1.73	-.2	1
24955	2	35	32	5	5	32	5	31	2	8	5	-1.04957689863356	-1.59947047504122	-1.10552816735887	.8	.6	1	.933333333333333	.8	.6	5.62	2.29	0	0
24957	1	45	31	6	 	 	 	 	7	 	 	-.030302123932806	 	 	.8	 	 	.733333333333333	.666666666666667	.6	5.86	1.82	.4	1
25009	1	22	30	6	6	32	 	 	5	5	 	-.512949903789856	-.178326002334718	 	.6	.6	 	.866666666666667	.466666666666667	.6	5.98	2.05	0	1
25018	1	40	11	1	 	 	 	 	5	 	 	.136843091394743	 	 	.4	 	 	.666666666666667	.2	.6	6.66	2.07	-.4	1
25110	2	52	15	-99.99	-99.99	-99.99	-99.99	18	7	10	4	-.294925830448338	1.49715929957718	.491298081749184	1	1	1	.4	.6	.8	6.5	2.6	.2	1
25128	1	43	18	1	2	18	 	 	10	10	 	.647648597338457	.858342515695988	 	1	1	 	.666666666666667	.866666666666667	1	6.63	2.52	0	1
25155	1	56	20	2	2	20	 	 	9	7	 	.961526179840896	.690697284671709	 	1	.8	 	.533333333333333	.466666666666667	.6	6.05	2.13	.2	1
